...1,ADM2_id,date_time_max_wind,vmax_sust,vmax_gust,sust_dur,gust_dur,sid,storm_id,usa_atcf_id,vmax_sust_knots,cyclone_category,year,month,day,adm2_name,adm2_merge_key
16468,2640588B22535822566030,2006-05-13T03:30:00Z,5.26398913758389,7.84334381499999,0,0,2006128N09138,Chanchu-2006,WP022006,10.232352645201068,Below Tropical Storm,2006,5,13,Kalinga,Kalinga
16469,2640588B50881283310688,2006-05-13T04:15:00Z,7.64578385174825,11.3922179391049,0,0,2006128N09138,Chanchu-2006,WP022006,14.86218048238232,Below Tropical Storm,2006,5,13,La Union,La Union
16470,2640588B29584406601254,2006-05-12T22:00:00Z,19.3154757322869,28.7800588411075,0,0,2006128N09138,Chanchu-2006,WP022006,37.54619434744856,Tropical Storm / Severe Tropical Storm,2006,5,12,Laguna,Laguna
16471,2640588B52014741175725,2006-05-11T18:15:00Z,3.4589862933213,5.15388957704874,0,0,2006128N09138,Chanchu-2006,WP022006,6.723715916409676,Below Tropical Storm,2006,5,11,Lanao del Norte,Lanao del Norte
16472,2640588B65127685102762,2006-05-11T12:00:00Z,3.13844978524197,4.67629018001054,0,0,2006128N09138,Chanchu-2006,WP022006,6.100644230544751,Below Tropical Storm,2006,5,11,Lanao del Sur,Lanao del Sur
16473,2640588B34650846802583,2006-05-11T17:30:00Z,15.1375475157824,22.5549457985158,0,0,2006128N09138,Chanchu-2006,WP022006,29.424970363078458,Below Tropical Storm,2006,5,11,Leyte,Leyte
16474,2640588B76798451045250,2006-05-11T08:00:00Z,2.09678892019702,3.12421549109356,0,0,2006128N09138,Chanchu-2006,WP022006,4.075822174635776,Below Tropical Storm,2006,5,11,Maguindanao,Maguindanao
16475,2640588B36383122170471,2006-05-12T11:00:00Z,26.5452969991493,39.5524925287325,855,855,2006128N09138,Chanchu-2006,WP022006,51.599810118826376,Tropical Storm / Severe Tropical Storm,2006,5,12,Marinduque,Marinduque
16476,2640588B67488359993346,2006-05-12T02:15:00Z,25.9350988995901,38.6432973603892,300,300,2006128N09138,Chanchu-2006,WP022006,50.41368264497922,Tropical Storm / Severe Tropical Storm,2006,5,12,Masbate,Masbate
16477,2640588B78942230860818,2006-05-11T18:30:00Z,3.5777915600646,5.33090942449625,0,0,2006128N09138,Chanchu-2006,WP022006,6.954654346115972,Below Tropical Storm,2006,5,11,Misamis Occidental,Misamis Occidental
16478,2640588B53733148454792,2006-05-11T13:15:00Z,5.10939117978416,7.6129928578784,0,0,2006128N09138,Chanchu-2006,WP022006,9.93183895091164,Below Tropical Storm,2006,5,11,Misamis Oriental,Misamis Oriental
16479,2640588B69436428808540,2006-05-13T03:30:00Z,6.0981234196787,9.08620389532127,0,0,2006128N09138,Chanchu-2006,WP022006,11.853776228108245,Below Tropical Storm,2006,5,13,Mountain Province,Mountain Province
16480,2640588B65314213268917,2006-05-12T22:30:00Z,17.1971861516482,25.6238073659558,0,0,2006128N09138,Chanchu-2006,WP022006,33.428578329019835,Below Tropical Storm,2006,5,12,"NCR, City of Manila, First District","NCR, City of Manila, First District"
16481,2640588B20861121251971,2006-05-12T22:30:00Z,18.267808022433,27.2190339534252,0,0,2006128N09138,Chanchu-2006,WP022006,35.50969594632617,Tropical Storm / Severe Tropical Storm,2006,5,12,"NCR, Fourth District","NCR, Fourth District"
16482,2640588B12869096786612,2006-05-12T22:30:00Z,16.6110500373578,24.7504645556631,0,0,2006128N09138,Chanchu-2006,WP022006,32.28922350461758,Below Tropical Storm,2006,5,12,"NCR, Second District","NCR, Second District"
16483,2640588B11276327116073,2006-05-12T22:30:00Z,15.8742867544248,23.652687264093,0,0,2006128N09138,Chanchu-2006,WP022006,30.8570735647211,Below Tropical Storm,2006,5,12,"NCR, Third District","NCR, Third District"
16484,2640588B49335496833592,2006-05-11T19:15:00Z,7.97476477669618,11.8823995172773,0,0,2006128N09138,Chanchu-2006,WP022006,15.501666763533102,Below Tropical Storm,2006,5,11,Negros Occidental,Negros Occidental
16485,2640588B56610026740587,2006-05-11T19:15:00Z,6.85988724520758,10.2212319953593,0,0,2006128N09138,Chanchu-2006,WP022006,13.334523222724302,Below Tropical Storm,2006,5,11,Negros Oriental,Negros Oriental
16486,2640588B89959078713723,2006-05-11T19:00:00Z,32.4114461655485,48.2930547866672,390,390,2006128N09138,Chanchu-2006,WP022006,63.00266551443979,Tropical Storm / Severe Tropical Storm,2006,5,11,Northern Samar,Northern Samar
16487,2640588B46982966730152,2006-05-13T02:45:00Z,10.884734446329,16.2182543250301,0,0,2006128N09138,Chanchu-2006,WP022006,21.158182206152166,Below Tropical Storm,2006,5,13,Nueva Ecija,Nueva Ecija
16488,2640588B36229801410553,2006-05-13T03:15:00Z,8.06195849276152,12.0123181542147,0,0,2006128N09138,Chanchu-2006,WP022006,15.671157396569551,Below Tropical Storm,2006,5,13,Nueva Vizcaya,Nueva Vizcaya
16489,2640588B90196487973168,2006-05-12T20:45:00Z,38.8827198086564,57.935252514898004,795,795,2006128N09138,Chanchu-2006,WP022006,75.58178607285865,Typhoon / Super Typhoon,2006,5,12,Occidental Mindoro,Occidental Mindoro
16490,2640588B63893974857560,2006-05-12T16:00:00Z,28.6523397426743,42.6919862165846,660,660,2006128N09138,Chanchu-2006,WP022006,55.695564085400015,Tropical Storm / Severe Tropical Storm,2006,5,12,Oriental Mindoro,Oriental Mindoro
16491,2640588B20950743061684,2006-05-12T16:15:00Z,12.323689850858,18.3622978777784,0,0,2006128N09138,Chanchu-2006,WP022006,23.955281279691818,Below Tropical Storm,2006,5,12,Palawan,Palawan
16492,2640588B20595662599865,2006-05-13T03:00:00Z,15.6365770966396,23.298499873993,0,0,2006128N09138,Chanchu-2006,WP022006,30.39500402353192,Below Tropical Storm,2006,5,13,Pampanga,Pampanga
16493,2640588B43628149657030,2006-05-13T09:15:00Z,9.7293198773486,14.4966866172494,0,0,2006128N09138,Chanchu-2006,WP022006,18.912241150385302,Below Tropical Storm,2006,5,13,Pangasinan,Pangasinan
16494,2640588B64856500371355,2006-05-12T11:30:00Z,20.2504820282058,30.1732182220267,105,105,2006128N09138,Chanchu-2006,WP022006,39.36369698570756,Tropical Storm / Severe Tropical Storm,2006,5,12,Quezon,Quezon
16495,2640588B94420346402626,2006-05-13T02:30:00Z,7.44783240934573,11.0972702899251,0,0,2006128N09138,Chanchu-2006,WP022006,14.477394550582604,Below Tropical Storm,2006,5,13,Quirino,Quirino
16496,2640588B36426397400836,2006-05-12T22:30:00Z,16.1132109536615,24.0086843209556,0,0,2006128N09138,Chanchu-2006,WP022006,31.32150398016537,Below Tropical Storm,2006,5,12,Rizal,Rizal
16497,2640588B50983171828902,2006-05-12T08:00:00Z,21.860893653978,32.5727315444272,390,390,2006128N09138,Chanchu-2006,WP022006,42.49407952034859,Tropical Storm / Severe Tropical Storm,2006,5,12,Romblon,Romblon
16498,2640588B23016389281073,2006-05-11T16:00:00Z,23.139749381649,34.478226578657,360,360,2006128N09138,Chanchu-2006,WP022006,44.979970438024594,Tropical Storm / Severe Tropical Storm,2006,5,11,Samar,Samar
16499,2640588B5697622806390,2006-05-10T15:15:00Z,1.65699234362099,2.46891859199528,0,0,2006128N09138,Chanchu-2006,WP022006,3.220927997224225,Below Tropical Storm,2006,5,10,Sarangani,Sarangani
16500,2640588B8507173896697,2006-05-11T19:00:00Z,5.593358469283,8.33410411923168,0,0,2006128N09138,Chanchu-2006,WP022006,10.872593926931067,Below Tropical Storm,2006,5,11,Siquijor,Siquijor
16501,2640588B8238689001419,2006-05-12T02:15:00Z,28.8550699588604,42.994054238702,465,465,2006128N09138,Chanchu-2006,WP022006,56.0896391888312,Tropical Storm / Severe Tropical Storm,2006,5,12,Sorsogon,Sorsogon
16502,2640588B59746130391756,2006-05-11T05:30:00Z,1.86386940678441,2.77716541610877,0,0,2006128N09138,Chanchu-2006,WP022006,3.6230639076838074,Below Tropical Storm,2006,5,11,South Cotabato,South Cotabato
16503,2640588B85389361952197,2006-05-11T13:15:00Z,10.8530762306641,16.1710835836895,0,0,2006128N09138,Chanchu-2006,WP022006,21.096643700214106,Below Tropical Storm,2006,5,11,Southern Leyte,Southern Leyte
16504,2640588B7308386302326,2006-05-12T14:45:00Z,1.02284070677863,1.52403265310015,0,0,2006128N09138,Chanchu-2006,WP022006,1.9882386794645723,Below Tropical Storm,2006,5,12,Sulu,Sulu
16505,2640588B80080860218245,2006-05-11T07:30:00Z,8.69199068285915,12.9510661174601,0,0,2006128N09138,Chanchu-2006,WP022006,16.89583916896893,Below Tropical Storm,2006,5,11,Surigao del Norte,Surigao del Norte
16506,2640588B11290582279728,2006-05-11T04:30:00Z,6.50765777938294,9.69641009128059,0,0,2006128N09138,Chanchu-2006,WP022006,12.649845497875734,Below Tropical Storm,2006,5,11,Surigao del Sur,Surigao del Sur
